电影名,导演,类型,上映日期,剧情简介
复仇者联盟4：终局之战,"安东尼·罗素,乔·罗素",剧情;动作;科幻;奇幻;冒险,2019-4-24,一声响指，宇宙间半数生命灰飞烟灭。几近绝望的复仇者们在惊奇队长（布丽·拉尔森 Brie Larson 饰）的帮助下找到灭霸（乔什·布洛林 Josh Brolin 饰）归隐之处，却得知六颗无限宝石均被销毁，希望彻底破灭。如是过了五年，迷失在量子领域的蚁人（保罗·路德 Paul Rudd 饰）意外回到现实世界，他的出现为幸存的复仇者们点燃了希望。与美国队长（克里斯·埃文斯 Chris Evans 饰）冰释前嫌的托尼（小罗伯特·唐尼 Robert Downey Jr. 饰）找到了穿越时空的方法，星散各地的超级英雄再度集结，他们分别穿越不同的时代去搜集无限宝石。而在这一过程中，平行宇宙的灭霸察觉了他们的计划。                                                                    　　注定要载入史册的最终决战，超级英雄们为了心中恪守的信念前仆后继……
源代码,邓肯·琼斯,科幻;悬疑;惊悚,2011-8-30,在阿富汗执行任务的美国空军飞行员科特史蒂文斯上尉（杰克·吉伦哈尔 Jake Gyllenhaal 饰）突然惊醒，发现自己在一辆高速行驶的列车上，而他的身边坐着一个素不相识的女子克里斯蒂安（米歇尔·莫娜汉 Michelle Monaghan 饰）正在与自己讲话。科尔不知自己为什么会在这辆车上，而且他发现自己居然是以另一个人的身份存在，正当他迷惑不解的时候，列车上忽然发生爆炸……                                                                            　　科特又一次惊醒，发现自己身处一个密闭的太空仓里，有一位女军官古德温（维拉·法米加 Vera Farmiga 饰）正在通过视频和自己对话，并要求自己报告列车上发生的事情。一头雾水的科特还没搞明白是怎么回事时，他又一次被送上那辆列车。这次之后，科特终于明白自己在执行一件任务，负责调察芝加哥火车爆炸案找到恐怖份子并查出他的下一个目标。科特被一次又一次的送上那辆高速列车，每次只有八分钟...
火星救援,雷德利·斯科特,剧情;科幻;冒险,2015-11-25,载人航天宇宙飞船阿瑞斯3号成功抵达火星，谁知一场破坏力极其巨大的风暴向宇航员们袭来，阿瑞斯3号被迫中断任务，紧急返航。撤离途中，宇航员马克·沃特尼（马特·达蒙 Matt Damon 饰）被飞船上吹落的零件击中，由于生还希望渺茫，队友们只得匆匆返航，并向世人宣告他已牺牲的事实。出乎意料的是，马克以极低的概率活了下来。他躲进驻火星的航天基地疗伤。下一次火星任务要等到四年后，而基地内的补给仅够他维持31天。短暂的绝望后，马克决定利用有限的食物，在这颗空无一人的星球上种植作物，寻找一线生机。与此同时，地球方面也很快发现马克生还的事实，他们想尽办法部署营救计划。孤军奋战的马克，能否等到救援队伍的到来？                                                                    　　影片改编自安迪·威尔的同名科幻小说。
蜘蛛侠：纵横宇宙,"乔伊姆·多斯·桑托斯,凯普·鲍尔斯,贾斯汀·汤普森",喜剧;动作;科幻;动画;奇幻;冒险,2023-6-2,地球-65，蜘蛛女格温（海莉·斯坦菲尔德 Hailee Steinfeld 配音）因为好友彼特之死而充满愧疚，而父亲对蜘蛛侠的误解也让她倍感焦虑。某次行动中，格温结识了来自其他宇宙的同伴米圭尔·奥哈拉和杰西卡·德鲁。从他们口中得知，为了防止多元宇宙进一步崩坏，米圭尔策划成立了由蜘蛛侠中的精英组成的突击队。格温受邀加入他们，并利用时空穿梭的机会来到了地球-1610，见到久违的迈尔斯（沙梅克·摩尔 Shameik Moore 配音）。此时的迈尔斯和父母关系紧张，他憧憬格温，渴望加入突击队又遭到拒绝。                                                                    　　随后迈尔斯又听到一个可怕的消息，每一个宇宙中，失去至亲正是所有蜘蛛侠的可悲宿命……
变脸,吴宇森,动作;科幻;犯罪;惊悚,1997-6-27,凯斯特（尼古拉斯•凯奇 Nicolas Cage 饰）是一个恐怖分子，他本想杀死探员西恩（约翰•特拉沃塔 John Travolta 饰），却误杀了西恩的儿子，西恩更与凯斯特结下不共戴天之仇。在逮捕凯斯特归案之后，他以为可以划上句号，却得知凯斯特已经把一枚毒气炸弹投放在某个人群密集的角落。                                                                    　　为了查出炸弹地点，西恩决定利用整形手术，将昏迷中的凯斯特的脸换在自己身上，去假扮凯斯特身份套出他弟弟说出真相。这件事属于FBI高度机密，只有寥寥几人知情。                                                                    　　凯斯特醒来，此时他有着西恩的面相。于是他决定将计就计，将知情人杀掉之后，他就变成了西恩……
这个男人来自地球,理查德·沙因克曼,剧情;科幻,2007-11-13,一个普通男人的秘密在他的辞职事件中开始显示出端倪。历史教授约翰奥德曼（David Lee Smith饰）说自己身上有一个让大家都匪夷所思的秘密，而为了保守这个秘密他不能在一个地方超过十年。他的朋友们试图去发掘他的故事中的秘密，这一举动让约翰非常生气，而他的朋友却发现约翰的故事是无法被否定也无法查证的，究竟约翰身上有着怎样的秘密？一幕幕碎片联系起来，带给我们一个意料之外的故事高潮。
黑客帝国动画版,"钟彼得,安德鲁·R·琼斯,川尻善昭,小池健,前田真宏,森本晃司,渡边信一郎",动作;剧情;动画;科幻,2003-6-3,《黑客帝国动画版》由9段以《黑客帝国》系列电影世界观为基础生发出的短片组成，各篇的角度与风格各异，制作班底汇聚了日本、美国、韩国三地的动画精英。《机器复兴》讲述了MATRIX的历史。机器人不堪人类恶劣对待，终于反抗并将人类化为能源。《少年故事》讲述一名少年突然收到来自网络的召唤，而大批黑衣人开始对他展开围捕。《虚拟程序》展示了一对男女在虚拟训练程序中的片断。《世界纪录》描写一位短跑运动员在接近突破人类极限时终被系统牢牢控制。《超越极限》叙述因为系统错误，平静的街区中出现了一片超常区域。《侦探故事》描写一位侦探被步步引领着试图摆脱系统的桎梏。《矩阵化》讲述一只机器人被人类捕获并驯化的故事。《终极战役》记录了一艘飞船毁灭的经过。
月球,邓肯·琼斯,剧情;科幻;悬疑,2009-7-10,未来世界，随着科技的飞速进步，地球的污染也越来越严重。为了遏制这种现状，一家名为月能工业有限公司的企业应运而生。该公司致力于月球能源的开发，通过采集氦-3来满足地球对能源的需求。月能公司在月球设有基地，山姆·贝尔（山姆·洛克威尔 Sam Rockwell 饰）正是该基地 上唯一的工作人员。山姆是公司聘用的合同工，他已在月球孤零零地生活3年，陪伴他的只有智能机器人戈蒂（凯文·斯派西 Kevin Spacey 饰）。枯燥乏味的生活令山姆归心似箭，在还有两周就离开月球的时候，山姆偶然遭遇一起事故。醒来后的他发现戈蒂似乎对其有所隐瞒，公司高层也拒绝他的回程请求。山姆借机逃出基地，却在事故发生地点发现另一个自己……                                                                    　　本片荣获2009年爱丁堡国际电影节最佳英国影片奖、2009年西雅图国际电影节最佳男主角奖。
机器管家,克里斯·哥伦布,剧情;喜剧;科幻,1999-12-13,机器人安德鲁（罗宾·威廉斯 Robin Williams 饰）是尼尔家四代人的管家。原本尼尔一家只是当他一部机器来使用，但大家渐渐发现安德鲁不只是一个家务机器这么简单，他在日常还会和他们一起欢笑，懂得人类的习俗，体会人类的情感。                                                                    　　安德鲁在尼尔家的女儿很小的时候就喜欢上她了，但由于他没有安装感觉模块，他任由她嫁给了一个错误的人。由于没有感觉，安德鲁可以在海边独自一人盖一栋房子生活。直到某天，他遇上了机械专家、科学狂人，为他安装上了感觉模块。                                                                    　　至此，安德鲁才体会到什么是吃醋、什么是恋爱。经过一番努力，安德鲁终于完全融入了人类社会。最终，他和自己相爱的人得以长厢厮守，并在垂垂老矣时幸福死去……
暖暖内含光,米歇尔·贡德里,剧情;爱情;科幻,2004-3-19,内向沉稳的约尔•巴瑞斯（金•凯瑞 饰）在一次聚会中认识了率真随性的克莱门汀•克罗斯基（凯特•温丝莱特 饰），二人成为情侣。和普通的情侣一样，他们的日子也在甜蜜和争吵中度过。                                                                            　　2004年情人节前夕，当约尔精心准备好礼物，为不久前一次争吵找到克莱门汀道歉时，他惊讶地发现，克莱门汀根本都不记得他了。原来冲动的克莱门汀受不了二人交往中争吵的痛苦，到“忘情诊所”，把关于约尔的记忆删除得一干二净。                                                                            　　约尔无法原谅克莱门汀的任性，也无法忍受失去她的痛苦，所以他也到了“忘情诊所”，请求医生霍华德博士（汤姆•维尔金森 饰）消除关于克莱门汀的记忆。                                                                            　　记忆清除程序开始启动，约尔在自己的记忆中游走，他发现和克莱斯汀一起度过的那些时光，无论是痛苦还是甜蜜，都弥足珍贵，他并不想忘记这个自己深爱的女人。但是，程序一旦启动就无法逆转，约尔只能想尽办法把克莱斯汀藏到记忆最深的地方，那些...
回到未来3,罗伯特·泽米吉斯,喜剧;科幻;西部;冒险,1990-5-25,马丁（迈克尔·J·福克斯 饰）从他生活的八十年代来到了1955年，根据好朋友埃米• 布朗博士（克里斯托弗·洛伊德 饰）于1885年留下的信件，马丁找到了博士研制的时空穿梭机。本以为可以乘坐着这台机器回到未来，马丁却意外发现了博士的墓碑，原来他在留下那封信后不久便被人杀害。为了拯救埃米博士，马丁乘坐时空穿梭机来到了1885年的美国西部。 马丁能否改变历史，拯救博士的生命？二人能否成功回到未来？“                                                                    　　回到未来三部曲”完结篇，一起与马丁乘坐时空穿梭机畅游时间。
星球大战,乔治·卢卡斯,动作;科幻;冒险,1977-5-25,Vader 达斯（大卫•普劳斯 饰）秘密捕获了奥德兰公主 Leia（凯莉•费舍尔 饰）的星际飞船。危急时刻，Leia 命机器人 R2-D2（肯尼•贝克 饰）携带重要信息向隐居的绝地武士 Obi-Wan Kenobi（亚历克•吉尼斯 饰）求援。R2 成功逃离飞船，却在寻找 Obi-Wan 的途中被贾瓦人捕获，卖给了农夫 Owen（菲尔•布朗 饰），R2 只得再次逃跑。第二天，Owen 的侄儿 Luke（马克•哈米尔 饰）找到 R2 后，遭到了3名沙人的袭击，幸而 Obi-Wan 及时出现吓跑了沙人。Luke 回到家，发现 Owen 叔叔和 Beru 婶婶（谢拉格•弗雷泽 饰）已被追捕 R2 的帝国冲锋队杀害，于是决定跟随 Obi-Wan 学习原力之道，成为绝地。Obi-Wan 以高价雇了走私者 Han Solo（哈里森•福特 饰）的千年隼号，向奥德兰进...
钢铁侠,乔恩·费儒,动作;冒险;科幻;惊悚,2008-4-30,斯塔克军火公司是美军在全球范围内第一大军火供应商，其新任掌门人托尼•斯塔克（小罗伯特·唐尼 Robert Downey Jr. 饰）风流倜傥，天资聪颖。他与公司元老俄巴迪亚•斯坦（杰夫·布里吉斯 Jeff Bridges 饰）合作无间，共同将斯塔克公司的业务推向顶峰。现 实生活中的托尼热衷收集名贵跑车，搞点儿发明创造，当然露水姻缘更不可少。所幸他身边有维吉尼亚•波茨（格温妮斯·帕特洛 Gwyneth Paltrow 饰）这样的好助手细心打理一切，才让他能自由自在过着贵公子的生活。                                                                            　　在前往中东为军方展示新型武器的途中，托尼一众遭到恐怖分子袭击。他被弹片击中险些丧命，在英森博士的帮助下，托尼体内移植了一颗核动力的人工心脏。恐怖分子要求托尼制造强大的杀伤性武器，他和英森虚与委蛇，暗中制造了一套由聚变能源驱动的钢铁盔甲。穿上盔甲托尼大闹恐怖分子的基地，回到美...
银河护卫队3,詹姆斯·古恩,喜剧;动作;科幻;惊悚;冒险,2023-5-5,历经磨难与考验，银河护卫队总算在虚无之地暂时安顿下来。可就在某一天，不速之客亚当术士（威尔·保尔特 Will Poulter 饰）的闯入不仅打破了这里的安宁与祥和，更将一场生死危机带到这群好朋友中间。战斗中，火箭浣熊（布莱德利·库珀 Bradley Cooper 配音）身负重伤，奄奄一息。为了拯救好友的生命，星爵（克里斯·帕拉特 Chris Pratt 饰）和星云（戴夫·巴蒂斯塔 Dave Bautista 饰）、毁灭者（戴夫·巴蒂斯塔 Dave Bautista 饰）、螳螂女（庞·克莱门捷夫 Pom Klementieff 饰）、格鲁特（庞·克莱门捷夫 Pom Klementieff 饰）卡魔拉（佐伊·索尔达娜 Zoe Saldana 饰）前往创造了火箭的奥果公司寻找起死回生的办法。                                                                            　　然而在那个诡异的世界，他们意外发现了火箭浣熊不为人知的悲惨过往…...
她,斯派克·琼斯,剧情;爱情;科幻,2013-10-12,《她》是讲述在不远的未来人与人工智能相爱的科幻爱情电影。主人公西奥多（华金·菲尼克斯 Joaquin Phoenix 饰）是一位信件撰写人，心思细腻而深邃，能写出最感人肺腑的信件。他刚结束与妻子凯瑟琳（鲁妮·玛拉 Rooney Mara 饰）的婚姻，还没走出心碎的阴影。 一次偶然机会让他接触到最新的人工智能系统OS1，它的化身萨曼莎（斯嘉丽·约翰逊 Scarlett Johansson 声）拥有迷人的声线，温柔体贴而又幽默风趣。西奥多与萨曼莎很快发现他们如此的投缘，而且存在双向的需求与欲望，人机友谊最终发展成为一段不被世俗理解的奇异爱情......                                                                            　　《她》主要在中国上海取景，由美国导演斯派克·琼斯历时3年筹备拍摄。电影融合了新奇的科幻设定与传统的浪漫气息，真人与虚拟共同谱写温暖治愈的恋曲。导演表示，这是一部探讨“亲密关系”的电影，因人类都渴望亲密关系...
回到未来2,罗伯特·泽米吉斯,喜剧;科幻;冒险,1989-11-22,马丁（Michael J. Fox 饰）才回到现实世界与女友团聚，布朗博士（Christopher Lloyd 饰）就心急火燎地把他们带到了30年后的未来世界，原来这一次是马丁未来的两个孩子因参与抢劫锒铛入狱，博士要携马丁一起阻止悲剧发生。                                                                    　　周旋一番后，两个孩子被成功挽救，但三人回到现实世界后，却发现周遭发生了天翻地覆的变化，世界被贝夫（Thomas F. Wilson饰）所控制，马丁的父亲乔治惨死，母亲洛莲（Lea Thompson 饰）竟然成了贝夫的妻子！                                                                    　　这一切都是因为时光机器的秘密不慎被未来的老贝夫识破，他偷偷回去捣鬼，竟因此使得整个世界都在他的掌握下！马丁与博士再次踏上时光穿梭的征途，希望将世界扳回正轨。
星球大战前传3：西斯的反击,乔治·卢卡斯,动作;科幻;奇幻;冒险,2005-5-20,克隆战争已经进行了三年，共和国即将胜利，分裂联盟的格非特将军和杜库伯爵（克里斯托弗•李 Christopher Lee 饰）劫持议会首相帕尔帕庭（伊恩·迈克蒂安米德Ian McDiarmid 饰）潜逃，绝地武士欧比-旺•肯诺比（伊万•麦克格雷格 Ewan McGregor 饰）和阿纳金（海登·克里斯滕森 Hayden Christensen 饰）奉长老院命前去营救，阿纳金杀死杜库伯爵救出帕尔帕庭，但格非特将军逃匿。阿纳金梦见妻子阿米达拉（娜塔丽·波特曼 Natalie Portman 饰）将死于难产，困惑中求助于帕尔帕庭，后者趁此机会离间阿纳金与绝地长老院。随着阿纳金向帕尔帕庭的靠拢，一场针对绝地武士与其所捍卫之民主的阴谋逐渐展开。                                                                    　　本片提名2006年第78界奥斯卡最佳化妆奖，并提名格莱美最佳电影电视等视觉媒体原创音乐奖。
芬奇,米格尔·萨普什尼克,剧情;科幻,2021-11-5,在世界末日后的地球上，一个为保护造物主的爱犬而生的机器人，学习生活、爱情、友谊以及作为人类意味着什么。
K星异客,伊恩·索夫特雷,剧情;科幻,2001-10-26,一位自称普洛特的戴墨镜男人（凯文•斯帕西 Keven Spacey 饰）突然出现在纽约中央公园车站。他自称来自天琴座附近距地球一千光年的K-PAX星，以超光速来到地球考察。普洛特被当作精神病人入住曼哈顿精神病院，受到马克•鲍威尔医生（杰夫•布里奇斯 Jeff Bridges 饰）的治疗。马克认为普洛特是妄想症患者，却又对普洛特的奇怪行为和不可思议的天文知识将信将疑。同时，普洛特的到来在病院中其他病人中造成轰动，人人都希望能被选中随普洛特回K-PAX星。马克医生竭尽全力希望找出普洛特的真实身份，却没想到自己竟在此过程中越来越被普洛特的理论所说服。普洛特的真实身份究竟为何？                                                                    　　本片被提名美国科幻、幻想和恐怖电影协会最佳男主角（凯文•斯帕西）。
阿基拉,大友克洋,动作;科幻;动画,1988-7-16,1988年7月，关东地区使用新型炸弹进行爆破，第三次世界大战即刻爆发。31年后，人类从一片废墟中重建都市，东京湾上建立了巨大城市——新东京。世界仿佛要恢复到以前的繁荣。                                                                    　　2019年的一个夜晚，新东京郊外的封闭高速公路上，暴走族团体正在公路上飙车。带头的少年，是一名叫做金 田的职业高中学生。                                                                    　　突然，街上出现了一位奇怪的矮个子男子，暴走族少年铁雄为躲避车祸连人带车飞出公路。正当金田要拿那位男子问罪之时，军队驾驶直升飞机赶到。将那位矮个男子与铁雄一起收押。                                                                    　　铁雄进入了一个陌生的地方，这里似乎在从事超能力的研究。而金田则在盘算如何营救铁雄。二人都不知道，他们的未来，因为神秘力量——阿基拉而已经开始了巨大的变化。
潜行者,安德烈·塔可夫斯基,剧情;科幻;悬疑,1980-5-13,清晨，空荡幽暗的卧室。潜行者（亚历山大·凯伊达诺夫斯基 Aleksandr Kajdanovsky饰）悄然无息地起身准备与另外两人会合前往一片恐怖复杂的地带。可妻子（阿丽萨·弗雷因德利赫 Alisa Frejndlikh饰）却极力哀求他不要冒险进入该地。而这位训练有素、 经验丰富的潜行者，即将穿越的是一片有着千变万化陷阱和圈套的地区“The Zone”。这块二十年前因陨星坠落而荒芜的恐怖地区，传说有一个名叫“The Room”的囚室，它能满足人们潜意识里最深层的意愿和欲望。潜行者与为寻求灵感的作家（安纳托里·索洛尼岑 Anatoli Solonitsyn饰）和为探明真相的科学家（尼古莱·格陵柯 Nikolai Grinko饰），踏上了这片变幻莫测的死亡之地。                                                                            　　这部极具史诗片气质，探究人类灵魂本质的科幻电影《潜行者》，用诗意而极富隐喻的长镜头，挖掘着人...
流浪地球2,郭帆,科幻;冒险;灾难,2023-1-22,在并不遥远的未来，太阳急速衰老与膨胀，再过几百年整个太阳系将被它吞噬毁灭。为了应对这场史无前例的危机，地球各国放下芥蒂，成立联合政府，试图寻找人类存续的出路。通过摸索与考量，最终推着地球逃出太阳系的“移山计划”获得压倒性胜利。人们着手建造上万台巨大的行星发动机，带着地球踏上漫漫征程。满腔赤诚的刘培强（吴京 饰）和韩朵朵（王智 饰）历经层层考验成为航天员大队的一员，并由此相知相恋。但是漫漫征途的前方，仿佛有一股神秘的力量不断破坏者人类的自救计划。看似渺小的刘培强、量子科学家图恒宇（刘德华 饰）、联合政府中国代表周喆直（李雪健 饰）以及无数平凡的地球人，构成了这项伟大计划的重要一环……                                                                    　　本片根据刘慈欣同名科幻小说改编。
复仇者联盟,乔斯·韦登,动作;科幻;奇幻;冒险,2012-5-5,一股突如其来的强大邪恶势力对地球造成致命威胁，没有任何一个超级英雄能够单独抵挡。长期致力于保护全球安危的神盾局（SHIELD）感到措手不及，其指挥官“独眼侠”尼克·弗瑞（塞缪尔·杰克逊 Samuel L. Jackson 饰）意识到他必须创建一个“史上最强”的联盟组织， 云集各方超级英雄一起发威，才能拯救世界于水深火热，抵御黑暗势力的侵袭。于是由六大超级英雄——“钢铁侠”（小罗伯特·唐尼 Robert Downey Jr. 饰）、“雷神” （克里斯·海姆斯沃斯 Chris Hemsworth 饰）、“美国队长”（克里斯·埃文斯 Chris Evans 饰）、“绿巨人” （马克·鲁弗洛 Mark Ruffalo 饰）、“黑寡妇”（斯嘉丽·约翰逊 Scarlett Johansson 饰）和“鹰眼”（杰瑞米·雷纳 Jeremy Renner 饰）组成的 ...
后天,罗兰·艾默里奇,科幻;灾难,2004-5-28,美国气候学家杰克（丹尼斯•奎德 Dennis Quaid 饰）认为，温室效应正在引发地球的大灾难，北极冰川的融化，会让地球回到冰河世纪那样的劫难。他的提醒并没有引起美国当局的重视，一切都已经太晚：飓风、冰雹、洪水、冰山融化、极度严寒，一系列的地球巨变引发了一场不可挽救的灾难。美国政府组织北纬30度的民众转移到赤道周围，场面一片混乱。更糟糕的是，杰克的儿子，正困在曼哈顿的图书馆里，靠烧书生火来维持体温。大家怎样才能逃过这场灭顶的灾祸？冰天雪地的地球何时才能回暖？
银翼杀手2049,丹尼斯·维伦纽瓦,剧情;动作;科幻;悬疑;惊悚,2017-10-27,故事发生在大断电30年后。复制人K（瑞恩·高斯林 Ryan Gosling 饰）是新一代的银翼杀手，在如今的世界里，人类和复制人之间的界限划分的更加明确，复制人从刚一制造出来就被灌输了服务于人类的思想，绝对不被允许产生人类的感情。                                                                    　　某日，一具女性复制人的遗骨被挖掘了出来 ，令陆军中尉乔什（罗宾·怀特 Robin Wright 饰）感到震惊的是，这名女性复制人生前不仅怀过孕，还将孩子生了下来，这个孩子的存在将会彻底破坏政府苦心经营的规则和秩序。乔什命令K找出这个孩子，并将他杀死。在一间废弃的农场里，K发现了一些线索，然而，这些线索竟然和他被植入的过去的记忆有着千丝万缕的关联。与此同时，尼安德（杰瑞德·莱托 Jared Leto 饰）和他的手下拉芙（西尔维娅·侯克斯 Sylvia Hoeks 饰）也在寻找着这个孩子的下落。
变形金刚,迈克尔·贝,动作;科幻,2007-7-11,“霸天虎”的先遣部队旋风和毒蝎袭击了美军位于卡塔尔的军事基地，与此同时，路障帮助他的搭档迷乱潜入了美国总统的座机空中一号，通过电脑获悉，要想找到威震天就必须找到维特维奇家族的那副眼镜，上面有威震天关于能量块的信息扫描，而它现在的拥有者萨姆·维特维奇（希安·拉博夫饰）成为了“霸天虎”攻击的目标。                                                                    　　萨姆是名高中生，学校里没有人相信他讲述的关于这副眼镜的历史，失望之余，萨姆把眼镜放到网上拍卖，然而从未引起买家的兴趣。这时父亲送了一辆破车给他，这辆车恰好就是“汽车人”大黄蜂的变形。大黄蜂帮助萨姆交上了漂亮的女朋友（梅甘·福克斯饰），但很快就遭遇了“霸天虎”的袭击，擎天柱带着其他“汽车人”赶到，一场机器人大战由此拉开了序幕。
第九区,尼尔·布洛姆坎普,动作;剧情;科幻;惊悚,2009-11-27,1990年，一艘巨大的飞船出现在地球上空，人们惶恐不安，却又分外好奇。经过一段时间紧张的等待，外星飞船始终没有动静。人类终于小心翼翼靠近它，强行走进舱内，结果发现了不计其数的外星人。他们形容丑陋，宛如虾子，而且健康状况极差，虚弱无力。原来这是一群来自外星的难民，他们最终被地球人接纳，并隔离在南非约翰内斯堡的一片区域内生活，此地名为“第九区”。经过长达20年的繁衍，外星难民的数量扩张至180万之多，且和周边人类的矛盾冲突不断，越来越多的人类呼吁将“大虾”赶出地球。                                                                    　　MNU（列国同盟组织）经过磋商，决定将外星难民迁移到更为偏远的区域。MNU外星事务部门的特工威库斯（Sharlto Copley 饰）专门负责搬迁工作。威库斯在动员过程中傲慢随意，与当地居民冲突频频。最终，他为自己的行为付出代价，外星人的神秘流体将其感染，威库斯慢慢变成了外星人的模样……
星际宝贝,"克里斯·桑德斯,迪恩·德布洛斯",喜剧;科幻;动画;冒险;家庭,2002-6-16,5岁的女孩丽洛一直梦想养一只宠物狗，这天她终于得偿所愿，在姐姐的帮助下收养了一只流浪小狗，并帮他取名史迪。其实史迪并不是什么流浪狗，他是外太空的危险分子，长有六条腿，在流放中偷跑到了地球。为了隐瞒身份，史迪一直将他的另外两只脚藏起来，外表和其他的小狗一样。在朝夕相处中，史迪和丽洛慢慢建立了深厚的感情。然而此时，追捕史迪的外星人发现了史迪藏身地球，为了逼他就范，他们绑架了丽洛。为了救回好朋友，史迪决定尽力一拼！
金刚狼3：殊死一战,詹姆斯·曼高德,剧情;动作;科幻,2017-3-3,故事发生在2029年，彼时，X战警早已经解散，作为为数不多的仅存的变种人，金刚狼罗根（休·杰克曼 Hugh Jackman 饰）和卡利班（斯戴芬·莫昌特 Stephen Merchant 饰）照顾着年迈的X教授（帕特里克·斯图尔特 Patrick Stewart 饰），由于衰老，X教授已经丧失了对于自己超能力的控制，如果不依赖药物，他的超能力就会失控，在全球范围内制造无法挽回的灾难。不仅如此，金刚狼的自愈能力亦随着时间的流逝逐渐减弱，体能和力量都早已经大不如从前。                                                                            　　某日，一位陌生女子找到了金刚狼，将一个名为劳拉（达芙妮·基恩 Dafne Keen 饰）的女孩托付给他，嘱咐他将劳拉送往位于加拿大边境的“伊甸园”。让罗根没有想到的是，劳拉竟然是被植入了自己的基因而培养出的人造变种人，而在传说中的伊甸园里，有着一群和劳拉境遇相似的孩子。邪恶的唐纳德（波伊德...
黑洞频率,格里高利·霍布里特,科幻;犯罪;悬疑,2000-4-28,约翰的父亲弗兰克(丹尼斯•奎德 Dennis Quaid 饰)死于30年前一次救火行动中。一次，翻看父亲的遗物时，约翰(詹姆斯•卡维泽 James Caviezel 饰)发现了30年前父亲使用过的一台老式无线电。在随手翻拨频段的时候，他竟然和一名年轻叫弗兰克的男子搭上了线。经过整夜长谈，约翰确定时空发生了错乱，这个弗兰克正是自己30年前的父亲。                                                                    　　约翰兴奋异常，顺利帮助父亲躲过了30年前的那场灾难。当他一觉醒来，惊讶地发现了相框中白发苍苍的父亲，他知道自己成功了。然而让人意想不到的是，历史一切都改写。约翰的拯救了父亲，而他的母亲却死于了多年前的一起连环杀人案。当约翰通过无线电再次联系30年前的父亲，意图让父亲阻止母亲被杀时，父亲却又意外成了嫌疑犯！
生化危机,保罗·安德森,动作;科幻;恐怖,2002-3-15,为军方研究生化武器的安布雷拉公司在浣熊市地下设有巨大的研究中心——蜂巢，由于一次意外事故导致可通过空气传播的生化武器泄露，负责蜂巢安保的电脑系统“红色女王”启动应急措施，却导致数百名工作人员罹难……四小时后，蜂巢安保人员爱丽丝（米拉·乔沃维奇 Milla Jovovich 饰）在蜂巢出口醒来，并且因为催眠气体而失忆。一支受命关闭红色女王的特种小队来到此处，与爱丽丝、自称警察的安德森，以及蜂巢工作人员帕克斯组队深入地下。一行人因任务目标与红色女王冲突而先后遭遇保卫系统和丧尸的连番袭击，而爱丽丝渐渐恢复的记忆揭示了她与同行者非同一般的联系。这场生化丧尸危机该如何解除？又或者根本是一曲绝望的前奏？                                                                    　　本片是根据知名电子游戏《生化危机》改编而成系列电影的首部。
超时空接触,罗伯特·泽米吉斯,剧情;科幻;悬疑;惊悚,1997-7-11,艾莉·爱罗维（茱迪·福斯特饰）自幼就对无线电通讯情有独钟。长大后，她成为一名天文学家，其项目内容为接收外太空信号。她希望能借此找到宇宙其他文明的存在。天才的理想得到的却是投资者的冷眼相看，幸好有神秘人帮助艾莉继续工作。                                                                    　　一次偶然的机会，艾莉收到了来自织女星的频率信号，似乎证明了艾莉一直以来的工作是正确的。但这带来的不是她个人事业的成功，而是政治、社会、宗教、国家各个角度的矛盾与讨论。深陷这一切暴风中心的艾莉，更要面对与神职人士帕尔默·乔丝（马修·麦康纳饰）的感情纠葛。                                                                    　　个人与世界，真相与现实，艾莉面临着远远超越学术范围的挑战。
黑衣人,巴里·索南菲尔德,动作;喜剧;科幻,1997-7-2,地球并不只是人类的天下，其实有1500名外星人生活中我们当中，而星际移民局则处理和外星人相关的事情。                                                                    　　纽约普通警察爱德华兹（威尔·史密斯 饰）因缘际会之下加入了这一组织，成为MIB的一员，代号J，从此没有名字、没有身份，成为特警K（汤姆·李·琼斯 饰）的搭档。                                                                    　　J应对的 第一起事件就是虫族的入侵。亚基伦王子罗斯伯在地球被虫族杀害，而他随身携带的“银河系”——宇宙次原子能源的最好来源也失踪了，若虫族找到，将给亚基伦人带来毁灭性的打击；亚基伦人发出最后通牒，如果地球人不能在一个小时之内交出“银河系”，他们就摧毁地球。                                                                    　　为了地球的安全，K和J不得不挺身而出。
异次元骇客,约瑟夫·鲁斯纳克,科幻;悬疑;惊悚,1999-5-28,十三，一个听起来就有些阴冷的数字。在一座大厦的第十三层，科学家道格拉斯•霍尔（克雷戈•比克饰）和汉农•富勒（阿明•缪勒－斯塔尔饰）用电脑模拟出一个逼真的1937年的洛杉矶，他们可以通过电脑进入这个虚拟世界，真实地体验1937年的生活与自己。然而一个夜里，富勒被人杀死，种种线索都表明似乎是霍尔所为。可霍尔却对当天夜里的事情全无记忆。这时一个自称是富勒女儿的女人又神秘出现，可霍尔从未听富勒说过自己有女儿……为了找到凶手明晓真相，霍尔循着富勒留下的线索来到虚拟世界中，他离真相越来越近了……近到窒息……
