福建圣农发展股份有限公司,九块鸡,1420643,百胜餐饮（福州）有限公司肯德基福州北二环餐厅,福建,福建省光泽县十里铺,2023-06-12,2.16千克/袋,合格
福建圣农发展股份有限公司,九块鸡,1420643,百胜餐饮（福州）有限公司肯德基软件大道餐厅,/,福建省光泽县十里铺,2023-06-08,2.16千克/袋,合格
福建圣农发展股份有限公司,九块鸡,1420643,百胜餐饮（福州）有限公司肯德基福州万达餐厅,福建省,福建省光泽县十里铺,2023-05-14,2.16千克/袋,合格
福建圣农发展股份有限公司,九块鸡,1420643,约克食品餐饮（福清）有限公司南平建阳万达店,福建,福建省光泽县十里铺,2022-04-17,2只/袋,合格
福建圣农发展股份有限公司,九块鸡,1420643,长沙肯德基有限公司常德水星楼店,湖南,福建省光泽县十里铺,2021-06-09,2只/袋,合格
福建圣农发展股份有限公司,九块鸡,1420643,百胜餐饮（福州）有限公司肯德基永安诚上广场餐厅,福建,福建省光泽县十里铺,2019-08-28,2只/袋（2只18块）,合格
福建圣农发展股份有限公司,烤翅用翅根（鸡肉）,3632169,百胜餐饮（福州）有限公司肯德基软件大道餐厅,/,福建省光泽县十里铺,2023-05-17,1.25千克/袋,合格
福建圣农发展股份有限公司,烤翅用翅根（鸡肉）,3632169,百胜餐饮（福州）有限公司肯德基福州万达餐厅,福建省,福建省光泽县十里铺,2023-05-05,1.25千克/袋,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,福州市鼓楼区林雄鲜冻禽畜产品摊,福建,福建省光泽县十里铺,2023-05-30,2kg/袋,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,紫金县瓦溪中学食堂,广东,福建省光泽县十里铺,/,2kg/袋,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,莆田市城厢区厨优鲜超市龙桥店,福建,福建省光泽县十里铺,2023-01-07,2kg/袋,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,福州市长乐区湖南维彬饭店,福建,福建省光泽县十里铺,2022-06-10,2kg/袋,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,福州市台江区进化论餐饮店,福建,福建省光泽县十里铺,2021-12-13,2kg/包,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,福建泉州世纪创发商贸有限公司晋江分公司,福建,福建省光泽县十里铺,2022-08-28,2kg/袋,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,福州高新区上街福万鑫便利店,福建,福建省光泽县十里铺,2022-08-18,2kg/袋,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,福清市兴顺当家超市有限公司,福建,福建省光泽县十里铺,/,2kg/包,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,闽侯县南通田味鲜土猪肉店,福建,福建省光泽县十里铺,2021-08-06,2kg/袋,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,仙游县鲤城福金冷冻食品零售店,福建,福建省光泽县十里铺,2021-04-27,2kg/包,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,莆田市秀屿区笏石淑敏食杂店,福建,福建省光泽县十里铺,2021-04-27,2kg/包,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,莆田市涵江区美涵冻品摊,福建,福建省光泽县十里铺,2020-08-08,2kg/包,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,仙游县枫亭悠然自得冷冻食品商行,福建,福建省光泽县十里铺,2020-10-30,2kg/袋,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,福建省福州第三中学(师生食堂),福建,福建省光泽县十里铺,2020-11-04,2kg/袋,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,仙游县鲤城卓江食品店,福建,福建省光泽县十里铺,2020-10-18,/,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,陆丰市东海镇小雨绿幼儿园,广东,福建省光泽县十里铺,2020-06-24,2kg/包,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,罗源县城关六婆串串香火锅店,福建,福建省光泽县十里铺,/,2千克/袋,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,厦门市思明区果领餐厅,福建,福建省光泽县十里铺,/,12kg（2kg/袋×6袋）/箱,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,仙游县鲤城国雄冷冻食品经营店,福建,福建省光泽县十里铺,2020-07-03,/,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,福建财贸工业技术学校,福建,福建省光泽县十里铺,2020-06-26,2kg/袋,合格
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521,晋安区兴日升餐厅,福建,福建省光泽县十里铺,2020-03-29,2千克/袋,合格
